ID,Critical Measures Visible,Date Accessed,Search term,Search page,Link,Video Title,Conductor Name,Baton,L.1-2.HandShape,L.3-5.HandShape,R.1-2.HandShape,R.3-5.HandShape,L.1-2.PalmOrientation,L.3-5.PalmOrientation,R.1-2.PalmOrientation,R.3-5.PalmOrientation,L.6-8.HandShape,R.6-8.HandShape,L.6-8.PalmOrientation,R.6-8.PalmOrientation,1-2.Cutoff,3-5.Cutoff,ExcludeYesNo,DownloadAvailability,FirstMeasuresBroken,AmandaComments,BodoComments,FullAuditoryPauseAfter1-2,FullAuditoryPauseAfter3-5
1,yes (@0:24),6/16/2015,beethoven 5th symphony,1,https://www.youtube.com/watch?v=7jh-E5m01wY,"Beethoven - Symphony No 5 in C minor, Op 67 - Thielemann",Christian Thielemann,Yes,fist>open,open,fist,fist,NA>down,down,NA,NA,open,fist,inward,NA,no,no,ok,yes,yes,,,,
2,yes (@0:24),6/16/2015,beethoven 5th symphony,1,https://www.youtube.com/watch?v=1lHOYvIhLxo,"Ludwig van Beethoven Symphony No. 5 in C minor, Op. 67 - Leonard Bernstein",Leonard Bernstein,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,N/A,N/A,open,fist,down,NA,no,yes,ok,yes,no,Has some dynamic labels between sections in video,,,
3,yes,6/16/2015,beethoven 5th symphony,1,https://www.youtube.com/watch?v=jv2WJMVPQi8,Beethoven - Symphony No. 5 (Proms 2012),Daniel Barenboim,Yes,fist,fist,fist,fist,NA,NA,NA,NA,open,fist,down,NA,no,yes,ok,no,NA,"This is the video with conductor/pianist Daniel Barenboim. He's the older gentlemen who's conducting style has noticeably changed with age. We won't use age as a factor or anything, just thought it was interesting. Notice though how he doesn't use the baton sometimes, the orchestra pretty much leads itself, except for with dynamic changes, tenutos or fermatas in the score. Someone also sneezes during one of the critical measures so this wouldn't be a good video to use audio-wise.",,,
4,yes,6/16/2015,beethoven 5th symphony,1,https://www.youtube.com/watch?v=POVjeuef0RY,Beethoven Symphony No.5 (Full Length): Seoul phil Orchestra,Chung Myung-Whun,Yes,open,open,fist,fist,down,down,NA,NA,open,fist,down,NA,no,no,ok,yes,no,,THIS IS AS GOOD EXAMPLE FOR DEMONSTRATION & SHOWING HOW YOU ANNOTATED THIS STUFF,,
5,yes,6/16/2015,beethoven 5th symphony,1,https://www.youtube.com/watch?v=4XpHQ45RZhM,Beethoven: Symphony No.5 / Abbado,Claudio Abbado,Yes,open,open,fist,fist,down,down,NA,NA,open,fist,down,NA,no,yes,ok,no,NA,,,,
6,somewhat,6/17/2015,beethoven 5th symphony,2,https://www.youtube.com/watch?v=4gXdWELSgEQ,"Benjamin Zander conducts Beethoven 5th, the way it was intended to be played",Benjamin Zander,Yes,open,open,fist,fist,down,down,NA,NA,open,fist,down,NA,no,yes,ok,yes,yes,"Wav file: There is a small noise from a string bass right before the first note, however it doesn't interfere with the critical measures. There is also some mild audience noise in measures 6-8.",,,
7,yes (@0:25),6/17/2015,beethoven 5th symphony,2,https://www.youtube.com/watch?v=kPpnK8L-G_o,"Beethoven 5th Symphony, 1st. mov. Chamber Orchestra of Europe, Harnoncourt",Nikolaus Harnoncourt,No,open>fist,open>fist,open>fist,open>fist,down>NA,down>NA,down>NA,down>NA,open,open,down,down,no,no,ok,yes,no,No baton; does this weird open to close gesture which is open right at the downbeat of the first measure but is closed for the remaining parts. How should we classify this?,"I like the way you did it, let's just put ""open>close"" in there (and similarly for other transitioning movements); in the end, we can show that the analysis gives the same results if this is classified as open or as closed",,
8,somewhat (conducting @0:57),6/17/2015,beethoven 5th symphony,2,https://www.youtube.com/watch?v=B_EsMBa4Ujc,Beethoven: Symphony No. 5 in C minor (Proms 2013),Donald Runnicles,No,NA,NA,NA,NA,NA,NA,NA,NA,open,open,down,down,no,no,ok,yes,no,"No baton - There is some talking during measures 6-8, hands get cut out of frame from 1-5. Should we still use?","Let's not use this one; the hands are really not visible anyway; however, let's keep this quote in mind, which might do good for a talk: ""pretty much the best known piece of music ever written""",,
9,yes,6/21/2015,beethoven 5th symphony conducting,1,https://www.youtube.com/watch?v=22wEhOdfAfA,Gustavo Dudamel & Beethoven 5 - 1st movement,Gustavo Dudamel,Yes,open,open,fist,fist,inward,inward,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,"During 1-5, though his left hand is open it is facing inwards, neither up or down. Should I mark this ""inward"" rather than up or down?","Yes, good call",,
10,yes,6/21/2015,beethoven 5th symphony conducting,1,https://www.youtube.com/watch?v=N6K_IuBsRM4,"Beethoven Symphony No. 5, 1st mvt--Arturo Toscanini/NBC Symp",Arturo Toscanini,Yes,fist,fist,fist,fist,NA,NA,NA,NA,open,fist,down,NA,yes,yes,ok,yes,no,Checked on 5/31 while recoding data and message for video says it was reported for copyright infringement. I'm thinking we could still include this in our data but we shouldn't use any clips from it (I still have the video downloaded though).,,,
11,somewhat (conducting @0:54),6/21/2015,beethoven 5th symphony conducting,1,https://www.youtube.com/watch?v=sDxdLuxtuxs,"Zubin Mehta conducts Beethoven's 5th Symphony, 1st movement, in India",Zubin Mehta,Yes,open,open,fist,fist,inward,inward,NA,NA,open,fist,down,NA,no,no,ok,yes,no,"During 1-5, it's hard to see if his left hand is open or closed. During 6-8, he is making a downwards precision grip gesture - his hand is not fully open or fully closed. How should I classify these movements?","Let's leave this out for now and classify it as ""difficult to see"" (let's make a visibility column)",,
12,NO,6/21/2015,beethoven 5th symphony conducting,1,https://www.youtube.com/watch?v=GZxN57CC_AA,Beethoven: Symphony no.5 - Heinrich Schiff conductor [HD],Heinrich Schiff,Yes,,,,,,,,,,,,,,,exclude,yes,NA,"Camera switches view during critical measures, cannot clearly see left hand. Should we exclude this video?","Yes (in the visibility column ""not visible"")",,
13,yes (@0:47),6/21/2015,beethoven 5th symphony conducting,1,https://www.youtube.com/watch?v=pZETc2uprBY,"Beethoven_Symphony No. 5 in C minor, Op. 67",Masato Usuki,Yes,open,open,fist,fist,inward>up,inward>up,"NA
",NA,open,fist,"down
",NA,no,yes,ok,yes,no,"Conductor uses an ""inward"" open hand gesture. Classify as inward?","This is almost hysterical! Yes, let's do ""inward"" here",,
14,yes (but DON'T USE),6/21/2015,beethoven 5th symphony conducting,2,https://www.youtube.com/watch?v=gSepb3jPe84,Ola Rapace - beethoven 5th symphony (world famous conductor last performance),Ola Rapace,Yes,open,open,fist,fist,up,up,"NA
",NA,open,fist,"down
",NA,,,exclude,yes,NA,Amateur conductor (that one buff guy),"I am wondering whether we should include this since this is a Swedish TV actor and this seems satirical? This is somewhat different from other ""amateurs""",,
15,yes,6/21/2015,beethoven 5th symphony conducting,2,https://www.youtube.com/watch?v=AujKX3CSoqs,"Sarah Pearson Conducting Beethoven's 5th Symphony, Movement I",Sarah Pearson,Yes,open,open,fist,fist,up,up,"NA
",NA,open,fist,"down
",NA,no,no,ok,yes,no,,,,
16,yes (@0:19),6/21/2015,beethoven 5th symphony conducting,2,https://www.youtube.com/watch?v=tOMnRrvxk_k,"Beethoven, 5th Symphony. Conductor :Nino Zautashvili (The Winner)",Nino Zautashvili,Yes,open,open,fist,fist,down,down,"NA
",NA,open,fist,"down
",NA,no,no,ok,yes,no,,,,
17,somewhat (@0:16),6/21/2015,beethoven 5th symphony conducting,2,https://www.youtube.com/watch?v=WjpfQVSFEDE,"Beethoven's 5th Symphony--Metropolitan Symphony, William Schrickel conductor",William Schrickel,Yes,fist>open,NA>open,fist,fist,NA>up,NA>up,"NA
",NA,open,fist,"down
",NA,no,yes,ok,yes,no,,,,
18,yes,6/21/2015,beethoven 5th symphony conducting,3,https://www.youtube.com/watch?v=wla4C4G5pT0,BEETHOVEN ~ Symphony # 5 in C minor - Francois-Xavier Roth / 2014,Francois-Xavier Roth,No,open,open,open,open,down,down,down,down,open,open,"down
",down,no,no,ok,no,no,"No baton; hands get partially cut from view during critical measures, but most of the time they are still visible",,,
19,yes,6/21/2015,beethoven 5th symphony conducting,3,https://www.youtube.com/watch?v=i9_xtgwaOCc,David possessed by Beethoven's 5th Symphony,David Yu,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,"NA
",NA,precision grip,fist,NA,NA,yes,yes,ok,yes,no,Amateur conductor; uses precision grip gestures in 6-8,"Good observation; this is CLEARLY a precision grip, let's classify this as a precision grip",,
20,yes,6/22/2015,beethoven 5th symphony conducting,4,https://www.youtube.com/watch?v=gH3y6568ANc,Beethoven Symphony 5 - Full Length - Complete Beethoven 5th in HD - SBS Youth Orchestra,Thomas Tsai,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,"NA
",NA,precision grip>open,fist,NA>down,NA,no,yes,ok,yes,no,,,,
21,somewhat,6/22/2015,beethoven 5th symphony conducting,5,https://www.youtube.com/watch?v=z2sVGIUsfIc,"Beethoven 5th Symphony, I). Allegro con Brio - Banda Clasica de Oaxaca",Felix Mendez Garcia,Yes,open,NA,fist,NA,up,NA,"NA
",NA,open,fist,down,NA,yes,NA,ok,yes,"yes, lots of crowd background noise","Camera switches back and forth from conductor to orchestra to conductor. Cuts back to conductor at measure 7, but I'm pretty sure he used the same motion from 6-7 as 7-8",,,
22,somewhat,6/22/2015,beethoven 5th symphony conducting,6,https://www.youtube.com/watch?v=63xPUGpAS-c,"BBC Maestro Goldie ""Beethoven's Fifth Symphony""","""Goldie"" Clifford Joseph Price",Yes (LH!),fist,fist,open,open,"NA
",NA,down,down,fist,open,NA,down,no,no,ok,yes,strange buzzing noise in the background,DJ and hip hop artist with conductor's training - participated in a conducting competition on BBC,,,
23,yes,6/22/2015,beethoven 5th symphony conducting,6,https://www.youtube.com/watch?v=kkTKb79RbOI,Robert Debbaut: Beethoven's Fifth Symphony,Robert Debbaut,Yes,open,open,fist,fist,down,down,"NA
",NA,open,fist,down,NA,no,no,ok,yes,"yes, a man coughs and you can hear it",,,,
24,yes,6/22/2015,beethoven 5th symphony conducting,6,https://www.youtube.com/watch?v=u488NN5BtKw,Beethoven 5th Symphony fully directed by Octav Calleya.,Octav Calleya,Yes,open>fist,open>fist,fist,fist,up>NA,up>NA,NA,NA,open,fist,down,NA,no,no,ok,yes,no,"Does some strange open to close gesture from 1-5. How should I label this? So far if there is a difference in open/close or up/down in 1-2 or 3-5, I note it as such, but in this video, these gestures are so quick they finish before the downbeat of the critical measure we are analyzing.","Man, this is so bad actually (the music); anyway, I would classify this as ""open>close"" nethertheless? (I recognize that the timing is a bit off, but it seems similar to the other ""open>close"" case above",,
25,somewhat,6/22/2015,beethoven 5th symphony conducting,7,https://www.youtube.com/watch?v=SoaYwchgJ8c,Beethoven's 5th Symphony,Claire Gordon,Yes,open,open,fist,fist,down>up,"down>up
",NA,NA,open,fist,down,NA,yes,yes,ok,yes,"yes, lots of background noise",Amateur orchestra,,,
26,yes (@0:46),6/22/2015,beethoven 5th symphony conducting,7,https://www.youtube.com/watch?v=BWoTSmhU3h4,Beethoven 5th Symphony (1st mov),Sergio Chnee,Yes,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,open,fist,down,NA,no,no,ok,yes,"yes, but just slightly",Amateur orchestra,,,
27,yes (@0:25),6/22/2015,beethoven 5th symphony conducting,7,https://www.youtube.com/watch?v=ode4zat5kLM,Beethoven's 5th.mov,Bogidar Avramov,Yes,fist,fist>open,fist,fist,NA,NA>down,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,,,,
28,yes,6/22/2015,beethoven 5th symphony conducting,8,https://www.youtube.com/watch?v=9zd8j1w4UPQ,Camerata Chicago Beethoven Symphony 5 Movt 1 Wheaton College Artist Series 2014-10-11,Drostan Hall,Yes,fist,fist,fist,fist,NA,NA>down,NA,NA,precision grip,fist,NA,NA,no,yes,ok,yes,no,"Camera cuts to orchestra for end of measures 6-8, but still see beginning piano with precision grip",,,
